id,gender,age,stim,ntrial,grade,grade_f,block,trial_within_block,target,rt,correct,error
106,Female,415,8n1a,1,1,1st Grade,1,1,Angry,6218.75,1,0
106,Female,415,8n1h,2,1,1st Grade,1,2,Happy,4140.625,1,0
106,Female,415,8n1h,3,1,1st Grade,1,3,Happy,2984.375,1,0
106,Female,415,8n1a,4,1,1st Grade,1,4,Angry,3812.5,1,0
106,Female,415,alln,5,1,1st Grade,1,5,Absent,9625,1,0
106,Female,415,alln,6,1,1st Grade,1,6,Absent,8312.5,1,0
106,Female,415,alln,7,1,1st Grade,1,7,Absent,6265.625,1,0
106,Female,415,8n1h,8,1,1st Grade,1,8,Happy,3468.75,1,0
106,Female,415,8n1a,9,1,1st Grade,1,9,Angry,2765.625,1,0
106,Female,415,8n1a,10,1,1st Grade,1,10,Angry,7062.5,1,0
106,Female,415,alln,11,1,1st Grade,1,11,Absent,7406.25,1,0
106,Female,415,alln,12,1,1st Grade,1,12,Absent,6796.875,1,0
106,Female,415,8n1a,13,1,1st Grade,1,13,Angry,6781.25,1,0
106,Female,415,8n1h,14,1,1st Grade,1,14,Happy,7515.625,1,0
106,Female,415,alln,15,1,1st Grade,1,15,Absent,8218.75,1,0
106,Female,415,8n1a,16,1,1st Grade,1,16,Angry,4531.25,1,0
106,Female,415,8n1a,17,1,1st Grade,1,17,Angry,6875,1,0
106,Female,415,8n1a,18,1,1st Grade,1,18,Angry,5718.75,1,0
106,Female,415,8n1h,19,1,1st Grade,1,19,Happy,4531.25,1,0
106,Female,415,8n1h,20,1,1st Grade,1,20,Happy,7656.25,1,0
106,Female,415,alln,21,1,1st Grade,1,21,Absent,2890.625,1,0
106,Female,415,8n1h,22,1,1st Grade,1,22,Happy,4625,1,0
106,Female,415,8n1h,23,1,1st Grade,1,23,Happy,6281.25,1,0
106,Female,415,alln,24,1,1st Grade,1,24,Absent,4953.125,1,0
106,Female,415,alln,25,1,1st Grade,1,25,Absent,4390.625,1,0
106,Female,415,8n1a,26,1,1st Grade,1,26,Angry,5750,1,0
106,Female,415,8n1h,27,1,1st Grade,1,27,Happy,6281.25,1,0
106,Female,415,8n1a,28,1,1st Grade,2,1,Angry,2156.25,1,0
106,Female,415,8n1a,29,1,1st Grade,2,2,Angry,2984.375,1,0
106,Female,415,alln,30,1,1st Grade,2,3,Absent,2671.875,1,0
106,Female,415,8n1a,31,1,1st Grade,2,4,Angry,2781.25,1,0
106,Female,415,8n1h,32,1,1st Grade,2,5,Happy,1421.875,1,0
106,Female,415,alln,33,1,1st Grade,2,6,Absent,2421.875,1,0
106,Female,415,alln,34,1,1st Grade,2,7,Absent,2062.5,1,0
106,Female,415,8n1a,35,1,1st Grade,2,8,Angry,1921.875,1,0
106,Female,415,8n1a,36,1,1st Grade,2,9,Angry,2687.5,1,0
106,Female,415,alln,37,1,1st Grade,2,10,Absent,3890.625,1,0
106,Female,415,alln,38,1,1st Grade,2,11,Absent,2531.25,1,0
106,Female,415,8n1a,39,1,1st Grade,2,12,Angry,2421.875,0,1
106,Female,415,8n1h,40,1,1st Grade,2,13,Happy,3843.75,1,0
106,Female,415,alln,41,1,1st Grade,2,14,Absent,3109.375,1,0
106,Female,415,8n1h,42,1,1st Grade,2,15,Happy,2921.875,1,0
106,Female,415,8n1h,43,1,1st Grade,2,16,Happy,,1,0
106,Female,415,alln,44,1,1st Grade,2,17,Absent,1500,1,0
106,Female,415,8n1h,45,1,1st Grade,2,18,Happy,2015.625,1,0
106,Female,415,8n1h,46,1,1st Grade,2,19,Happy,2125,1,0
106,Female,415,8n1h,47,1,1st Grade,2,20,Happy,,1,0
106,Female,415,8n1a,48,1,1st Grade,2,21,Angry,3375,1,0
106,Female,415,8n1h,49,1,1st Grade,2,22,Happy,,1,0
106,Female,415,8n1h,50,1,1st Grade,2,23,Happy,,1,0
106,Female,415,8n1a,51,1,1st Grade,2,24,Angry,,1,0
106,Female,415,8n1a,52,1,1st Grade,2,25,Angry,,1,0
106,Female,415,alln,53,1,1st Grade,2,26,Absent,2625,1,0
106,Female,415,alln,54,1,1st Grade,2,27,Absent,2734.375,1,0
106,Female,415,8n1h,55,1,1st Grade,3,1,Happy,1875,0,1
106,Female,415,8n1h,56,1,1st Grade,3,2,Happy,1843.75,1,0
106,Female,415,alln,57,1,1st Grade,3,3,Absent,2062.5,1,0
106,Female,415,8n1a,58,1,1st Grade,3,4,Angry,2453.125,1,0
106,Female,415,alln,59,1,1st Grade,3,5,Absent,1531.25,1,0
106,Female,415,8n1h,60,1,1st Grade,3,6,Happy,,0,1
106,Female,415,8n1a,61,1,1st Grade,3,7,Angry,,1,0
106,Female,415,8n1a,62,1,1st Grade,3,8,Angry,1750,1,0
106,Female,415,8n1a,63,1,1st Grade,3,9,Angry,2156.25,1,0
106,Female,415,alln,64,1,1st Grade,3,10,Absent,,1,0
106,Female,415,alln,65,1,1st Grade,3,11,Absent,,1,0
106,Female,415,alln,66,1,1st Grade,3,12,Absent,,1,0
106,Female,415,8n1h,67,1,1st Grade,3,13,Happy,2734.375,1,0
106,Female,415,8n1a,68,1,1st Grade,3,14,Angry,2031.25,1,0
106,Female,415,8n1h,69,1,1st Grade,3,15,Happy,1296.875,0,1
106,Female,415,alln,70,1,1st Grade,3,16,Absent,2281.25,1,0
106,Female,415,8n1a,71,1,1st Grade,3,17,Angry,,1,0
106,Female,415,8n1h,72,1,1st Grade,3,18,Happy,2015.625,1,0
106,Female,415,8n1h,73,1,1st Grade,3,19,Happy,2234.375,1,0
106,Female,415,alln,74,1,1st Grade,3,20,Absent,,1,0
106,Female,415,8n1a,75,1,1st Grade,3,21,Angry,2625,1,0
106,Female,415,8n1h,76,1,1st Grade,3,22,Happy,2406.25,1,0
106,Female,415,alln,77,1,1st Grade,3,23,Absent,,1,0
106,Female,415,8n1h,78,1,1st Grade,3,24,Happy,,1,0
106,Female,415,8n1a,79,1,1st Grade,3,25,Angry,2562.5,1,0
106,Female,415,alln,80,1,1st Grade,3,26,Absent,,1,0
106,Female,415,8n1a,81,1,1st Grade,3,27,Angry,1468.75,1,0
107,Male,329,alln,1,1,1st Grade,1,1,Absent,2546.875,1,0
107,Male,329,alln,2,1,1st Grade,1,2,Absent,2515.625,1,0
107,Male,329,8n1a,3,1,1st Grade,1,3,Angry,,1,0
107,Male,329,8n1h,4,1,1st Grade,1,4,Happy,1796.875,1,0
107,Male,329,8n1a,5,1,1st Grade,1,5,Angry,,1,0
107,Male,329,alln,6,1,1st Grade,1,6,Absent,2031.25,1,0
107,Male,329,alln,7,1,1st Grade,1,7,Absent,1671.875,1,0
107,Male,329,alln,8,1,1st Grade,1,8,Absent,2546.875,1,0
107,Male,329,8n1a,9,1,1st Grade,1,9,Angry,2390.625,1,0
107,Male,329,8n1a,10,1,1st Grade,1,10,Angry,,1,0
107,Male,329,8n1h,11,1,1st Grade,1,11,Happy,1750,1,0
107,Male,329,8n1h,12,1,1st Grade,1,12,Happy,,1,0
107,Male,329,8n1h,13,1,1st Grade,1,13,Happy,2093.75,1,0
107,Male,329,8n1h,14,1,1st Grade,1,14,Happy,,1,0
107,Male,329,alln,15,1,1st Grade,1,15,Absent,2625,0,1
107,Male,329,alln,16,1,1st Grade,1,16,Absent,,1,0
107,Male,329,8n1h,17,1,1st Grade,1,17,Happy,3000,1,0
107,Male,329,8n1h,18,1,1st Grade,1,18,Happy,,1,0
107,Male,329,alln,19,1,1st Grade,1,19,Absent,,1,0
107,Male,329,8n1a,20,1,1st Grade,1,20,Angry,,1,0
107,Male,329,8n1h,21,1,1st Grade,1,21,Happy,,0,1
107,Male,329,8n1h,22,1,1st Grade,1,22,Happy,2031.25,1,0
107,Male,329,8n1a,23,1,1st Grade,1,23,Angry,2156.25,1,0
107,Male,329,8n1a,24,1,1st Grade,1,24,Angry,,1,0
107,Male,329,8n1a,25,1,1st Grade,1,25,Angry,2921.875,1,0
107,Male,329,alln,26,1,1st Grade,1,26,Absent,,1,0
107,Male,329,8n1a,27,1,1st Grade,1,27,Angry,2437.5,1,0
107,Male,329,8n1h,28,1,1st Grade,2,1,Happy,1796.875,1,0
107,Male,329,alln,29,1,1st Grade,2,2,Absent,1812.5,1,0
107,Male,329,8n1h,30,1,1st Grade,2,3,Happy,,1,0
107,Male,329,8n1h,31,1,1st Grade,2,4,Happy,2171.875,1,0
107,Male,329,8n1h,32,1,1st Grade,2,5,Happy,,1,0
107,Male,329,alln,33,1,1st Grade,2,6,Absent,2062.5,1,0
107,Male,329,alln,34,1,1st Grade,2,7,Absent,1562.5,1,0
107,Male,329,8n1h,35,1,1st Grade,2,8,Happy,2421.875,1,0
107,Male,329,8n1h,36,1,1st Grade,2,9,Happy,2703.125,0,1
107,Male,329,alln,37,1,1st Grade,2,10,Absent,,0,1
107,Male,329,8n1a,38,1,1st Grade,2,11,Angry,2421.875,0,1
107,Male,329,8n1h,39,1,1st Grade,2,12,Happy,2171.875,1,0
107,Male,329,8n1a,40,1,1st Grade,2,13,Angry,1343.75,1,0
107,Male,329,8n1a,41,1,1st Grade,2,14,Angry,2781.25,1,0
107,Male,329,8n1a,42,1,1st Grade,2,15,Angry,,1,0
107,Male,329,8n1a,43,1,1st Grade,2,16,Angry,2421.875,1,0
107,Male,329,8n1h,44,1,1st Grade,2,17,Happy,,1,0
107,Male,329,alln,45,1,1st Grade,2,18,Absent,2406.25,1,0
107,Male,329,8n1a,46,1,1st Grade,2,19,Angry,,1,0
107,Male,329,alln,47,1,1st Grade,2,20,Absent,2687.5,1,0
107,Male,329,alln,48,1,1st Grade,2,21,Absent,,1,0
107,Male,329,8n1a,49,1,1st Grade,2,22,Angry,,1,0
107,Male,329,8n1a,50,1,1st Grade,2,23,Angry,1703.125,1,0
107,Male,329,8n1h,51,1,1st Grade,2,24,Happy,3265.625,1,0
107,Male,329,alln,52,1,1st Grade,2,25,Absent,,1,0
107,Male,329,8n1a,53,1,1st Grade,2,26,Angry,2281.25,1,0
107,Male,329,alln,54,1,1st Grade,2,27,Absent,2515.625,1,0
108,Female,345,8n1h,1,1,1st Grade,1,1,Happy,3484.375,1,0
108,Female,345,8n1a,2,1,1st Grade,1,2,Angry,3296.875,1,0
108,Female,345,8n1h,3,1,1st Grade,1,3,Happy,3421.875,1,0
108,Female,345,8n1a,4,1,1st Grade,1,4,Angry,1671.875,1,0
108,Female,345,alln,5,1,1st Grade,1,5,Absent,3781.25,1,0
108,Female,345,8n1h,6,1,1st Grade,1,6,Happy,2375,1,0
108,Female,345,8n1h,7,1,1st Grade,1,7,Happy,4437.5,1,0
108,Female,345,8n1a,8,1,1st Grade,1,8,Angry,4437.5,1,0
108,Female,345,alln,9,1,1st Grade,1,9,Absent,3687.5,1,0
108,Female,345,8n1h,10,1,1st Grade,1,10,Happy,2921.875,1,0
108,Female,345,8n1a,11,1,1st Grade,1,11,Angry,3421.875,1,0
108,Female,345,8n1h,12,1,1st Grade,1,12,Happy,1406.25,1,0
108,Female,345,8n1a,13,1,1st Grade,1,13,Angry,1093.75,1,0
108,Female,345,alln,14,1,1st Grade,1,14,Absent,3046.875,0,1
108,Female,345,8n1a,15,1,1st Grade,1,15,Angry,3171.875,1,0
108,Female,345,alln,16,1,1st Grade,1,16,Absent,3515.625,0,1
108,Female,345,8n1h,17,1,1st Grade,1,17,Happy,2390.625,1,0
108,Female,345,8n1a,18,1,1st Grade,1,18,Angry,3625,1,0
108,Female,345,alln,19,1,1st Grade,1,19,Absent,3281.25,0,1
108,Female,345,8n1h,20,1,1st Grade,1,20,Happy,3484.375,1,0
108,Female,345,alln,21,1,1st Grade,1,21,Absent,3234.375,0,1
108,Female,345,8n1a,22,1,1st Grade,1,22,Angry,2500,1,0
108,Female,345,alln,23,1,1st Grade,1,23,Absent,2578.125,0,1
